,0
0,2.3092783505154637
1,2.288659793814433
2,2.2783505154639174
3,2.3402061855670104
4,2.4742268041237114
5,1.3917525773195876
6,1.865979381443299
7,2.247422680412371
8,2.329896907216495
9,2.3917525773195876
10,2.2989690721649483
11,2.2371134020618557
12,2.2371134020618557
13,2.1237113402061856
14,2.247422680412371
15,2.1443298969072164
16,2.5257731958762886
17,2.463917525773196
18,1.8350515463917525
19,2.381443298969072
20,2.268041237113402
21,2.329896907216495
22,2.350515463917526
23,2.6082474226804124
24,2.0309278350515463
25,2.329896907216495
26,2.3917525773195876
27,2.381443298969072
28,2.195876288659794
29,2.2783505154639174
30,2.2783505154639174
31,2.288659793814433
32,2.443298969072165
33,2.0
34,2.6082474226804124
35,2.350515463917526
36,2.1443298969072164
37,2.2989690721649483
38,2.2783505154639174
39,2.268041237113402
40,2.288659793814433
41,2.484536082474227
42,1.4123711340206186
43,1.7216494845360826
44,2.381443298969072
45,2.2268041237113403
46,2.2783505154639174
47,2.2268041237113403
48,2.1443298969072164
49,2.381443298969072
50,2.247422680412371
51,2.350515463917526
52,2.268041237113402
53,2.2061855670103094
54,2.463917525773196
55,1.5876288659793814
56,2.350515463917526
57,2.268041237113402
58,2.268041237113402
59,2.329896907216495
60,1.7422680412371134
61,1.4329896907216495
62,2.268041237113402
63,2.247422680412371
64,2.5463917525773194
65,2.247422680412371
66,1.6082474226804124
67,2.4536082474226806
68,2.268041237113402
69,2.247422680412371
70,1.4742268041237114
71,1.8865979381443299
72,2.2268041237113403
73,1.8556701030927836
74,2.268041237113402
75,2.268041237113402
76,2.082474226804124
77,2.4536082474226806
78,2.443298969072165
79,2.268041237113402
80,2.2783505154639174
81,1.3814432989690721
82,2.4948453608247423
83,2.288659793814433
84,2.3402061855670104
85,2.350515463917526
86,2.185567010309278
87,2.2783505154639174
88,2.247422680412371
89,2.268041237113402
90,2.5051546391752577
91,2.1443298969072164
92,2.6082474226804124
93,2.2783505154639174
94,2.350515463917526
95,2.2577319587628866
96,2.2268041237113403
97,2.3402061855670104
98,2.247422680412371
99,2.2577319587628866
100,2.154639175257732
101,2.288659793814433
102,2.5257731958762886
103,2.247422680412371
104,2.463917525773196
105,2.5257731958762886
106,2.0927835051546393
107,2.5463917525773194
108,2.1649484536082473
109,2.3092783505154637
110,2.463917525773196
111,2.1443298969072164
112,2.3917525773195876
113,2.5463917525773194
114,2.3402061855670104
115,2.381443298969072
116,2.1443298969072164
117,2.3917525773195876
118,2.2783505154639174
119,2.288659793814433
120,2.1237113402061856
121,2.2783505154639174
122,2.381443298969072
123,2.082474226804124
124,1.8350515463917525
125,2.5463917525773194
126,2.1443298969072164
127,2.268041237113402
128,2.268041237113402
129,2.5051546391752577
130,2.350515463917526
131,2.247422680412371
132,2.1443298969072164
133,2.2577319587628866
134,2.443298969072165
135,2.5257731958762886
136,2.350515463917526
137,1.6804123711340206
138,2.268041237113402
139,2.1237113402061856
140,2.3092783505154637
141,2.2061855670103094
142,2.350515463917526
143,2.350515463917526
144,2.216494845360825
145,2.3195876288659796
146,2.4536082474226806
147,2.288659793814433
148,2.2268041237113403
149,2.3402061855670104
150,1.8556701030927836
151,2.5876288659793816
152,2.2577319587628866
153,2.402061855670103
154,2.381443298969072
155,1.443298969072165
156,2.350515463917526
157,2.268041237113402
158,2.515463917525773
159,2.350515463917526
160,2.2268041237113403
161,2.3092783505154637
162,1.4845360824742269
163,2.381443298969072
164,1.7422680412371134
165,1.8762886597938144
166,2.3917525773195876
167,2.2783505154639174
168,2.1649484536082473
169,2.2577319587628866
170,2.463917525773196
171,2.268041237113402
172,2.443298969072165
173,2.1649484536082473
174,2.2577319587628866
175,2.463917525773196
176,2.350515463917526
177,2.268041237113402
178,2.329896907216495
179,2.2268041237113403
180,2.1237113402061856
181,2.463917525773196
182,2.2371134020618557
183,2.2371134020618557
184,1.6804123711340206
185,2.051546391752577
186,1.865979381443299
187,2.3092783505154637
188,1.8144329896907216
189,2.2989690721649483
190,1.4329896907216495
191,2.350515463917526
192,2.2577319587628866
193,2.3195876288659796
194,2.350515463917526
195,2.484536082474227
196,2.2783505154639174
197,2.3711340206185567
198,2.6082474226804124
199,2.5051546391752577
200,2.5257731958762886
201,2.1752577319587627
202,2.4948453608247423
203,1.556701030927835
204,2.2577319587628866
205,2.556701030927835
206,1.4536082474226804
207,2.2371134020618557
208,2.5463917525773194
209,1.9690721649484537
210,1.7422680412371134
211,1.7731958762886597
212,2.5876288659793816
213,2.350515463917526
214,2.329896907216495
215,2.2783505154639174
216,2.268041237113402
217,2.350515463917526
218,2.350515463917526
219,2.2061855670103094
220,2.443298969072165
221,2.2989690721649483
222,2.463917525773196
223,2.268041237113402
224,2.3195876288659796
225,2.020618556701031
226,2.247422680412371
227,2.247422680412371
228,2.4536082474226806
229,1.865979381443299
230,1.4329896907216495
231,2.268041237113402
232,2.195876288659794
233,1.8969072164948453
234,1.9484536082474226
235,2.216494845360825
236,2.2268041237113403
237,2.268041237113402
238,2.268041237113402
239,2.185567010309278
240,2.2371134020618557
241,1.8144329896907216
242,2.288659793814433
243,2.350515463917526
244,1.3814432989690721
245,2.350515463917526
246,2.0309278350515463
247,2.350515463917526
248,2.216494845360825
249,2.329896907216495
250,2.2783505154639174
251,2.4536082474226806
252,2.020618556701031
253,2.1752577319587627
254,2.2989690721649483
255,2.1443298969072164
256,2.381443298969072
257,2.288659793814433
258,2.3402061855670104
259,2.2268041237113403
260,2.2577319587628866
261,2.4536082474226806
262,2.329896907216495
263,2.2371134020618557
264,2.2783505154639174
265,2.3092783505154637
266,2.3195876288659796
267,2.2783505154639174
268,2.268041237113402
269,2.2268041237113403
270,2.329896907216495
271,2.185567010309278
272,2.443298969072165
273,2.185567010309278
274,2.5051546391752577
275,2.350515463917526
276,2.6907216494845363
277,2.268041237113402
278,2.11340206185567
279,2.4536082474226806
280,2.3917525773195876
281,2.350515463917526
282,2.3711340206185567
283,2.2783505154639174
284,2.4948453608247423
285,2.443298969072165
286,2.350515463917526
287,2.3917525773195876
288,2.463917525773196
289,2.443298969072165
290,2.1443298969072164
291,2.350515463917526
292,1.6082474226804124
293,1.6391752577319587
294,2.402061855670103
295,2.329896907216495
296,1.6288659793814433
297,1.824742268041237
298,1.7731958762886597
299,2.350515463917526
300,2.4536082474226806
301,2.381443298969072
302,1.6288659793814433
303,2.2061855670103094
304,2.3195876288659796
305,2.443298969072165
306,2.2577319587628866
307,2.350515463917526
308,2.1443298969072164
309,2.1030927835051547
310,2.329896907216495
